time	EMG	EMG
0.0	-6.936945373223093e-07	4.053976971820011e-07
0.0005194805194805195	-2.201307429313343e-06	3.6512205455264117e-06
0.001038961038961039	-3.0048351708719127e-06	3.3912824412315434e-06
0.0015584415584415584	-3.4699541220111538e-06	6.612298200591163e-07
0.002077922077922078	-3.7024699826210245e-06	-2.4736884667709173e-06
0.0025974025974025974	-3.0407570883484663e-06	-5.319086053805011e-06
0.003116883116883117	-1.6841647325012325e-06	-6.3059984606459424e-06
0.0036363636363636364	-8.532490496245178e-07	-4.886131559847945e-06
0.004155844155844156	-6.856982006246814e-07	-3.6207298721970646e-06
0.004675324675324675	-5.171655960087959e-07	-3.8966350326680745e-06
0.005194805194805195	-7.477083178500031e-07	-3.857044714339936e-06
0.005714285714285714	-1.677210715103634e-06	-2.157127967970017e-06
0.006233766233766234	-2.5798452916400023e-06	-4.6144311558342926e-08
0.006753246753246753	-3.0370446413008927e-06	6.61858061665045e-07
0.007272727272727273	-3.1663865245253405e-06	1.8617485236675203e-07
0.007792207792207792	-3.175150571165841e-06	5.902943584155737e-07
0.008311688311688312	-3.1864466085406016e-06	2.826794948565437e-06
0.008831168831168832	-2.870189253993134e-06	5.398998444715486e-06
0.00935064935064935	-1.972167668263614e-06	6.101020633931322e-06
0.00987012987012987	-1.1735289577674955e-06	3.998524445512566e-06
0.01038961038961039	-1.1626492266392115e-06	6.022828585071264e-07
0.01090909090909091	-1.3699296566222099e-06	-1.186297906687197e-06
0.011428571428571429	-1.2213900372714364e-06	-6.264559489348215e-07
0.011948051948051947	-1.1591548239009536e-06	-2.2789921875074382e-08
0.012467532467532468	-1.1992863402971717e-06	-6.11309138092498e-07
0.012987012987012988	-1.1487007421484114e-06	-3.0205965286935936e-07
0.013506493506493506	-1.930308597252292e-06	2.0752093381189487e-06
0.014025974025974025	-3.883827194930115e-06	4.207854266544326e-06
0.014545454545454545	-5.321575879077048e-06	4.371260720406417e-06
0.015064935064935066	-4.739619333646922e-06	2.898862174970179e-06
0.015584415584415584	-2.9041749964215924e-06	-2.6433013447390466e-07
0.016103896103896103	-1.6084564867386301e-06	-4.104911612294765e-06
0.016623376623376623	-1.701675086023568e-06	-5.994297167899009e-06
0.017142857142857144	-2.761263593887547e-06	-5.607418172140757e-06
0.017662337662337664	-3.4211201596446964e-06	-4.768198277883887e-06
0.01818181818181818	-2.3955951789912277e-06	-4.535449282326722e-06
0.0187012987012987	1.0594298008839427e-07	-5.223357411344038e-06
0.01922077922077922	2.7299079538088015e-06	-5.587248734475104e-06
0.01974025974025974	4.281335909889248e-06	-3.6466846428005894e-06
0.02025974025974026	4.354358664596e-06	-8.154040495978771e-07
0.02077922077922078	3.7784095664986825e-06	3.2769201678951883e-07
0.0212987012987013	3.7270100006436357e-06	5.484730741366807e-07
0.02181818181818182	4.053436183185243e-06	7.937230163318027e-07
0.022337662337662337	3.986582512065877e-06	7.559628577167905e-07
0.022857142857142857	3.400615815763802e-06	1.6298379514698216e-06
0.023376623376623377	2.4833468514695987e-06	3.1370714579739754e-06
0.023896103896103894	1.7818345871202505e-06	2.4073192212486317e-06
0.024415584415584415	1.8964188174004134e-06	-1.7405746480495513e-07
0.024935064935064935	2.1721556172656545e-06	-1.4591353263989887e-06
0.025454545454545455	1.6479807883752868e-06	-1.9004027832401475e-06
0.025974025974025976	1.0292319379594602e-06	-3.521822754216701e-06
0.026493506493506493	1.5280432039963421e-06	-3.967281129682044e-06
0.027012987012987013	2.8244335827046425e-06	-6.846907644057232e-07
0.027532467532467533	3.5267731831322444e-06	3.053714248763745e-06
0.02805194805194805	2.7190493315839996e-06	2.8219993842717084e-06
0.02857142857142857	7.578660639481774e-07	-6.005767541623364e-07
0.02909090909090909	-1.1607112746987687e-06	-2.419184724048728e-06
0.02961038961038961	-2.20915316118283e-06	2.4215361211039937e-07
0.03012987012987013	-2.42491057390069e-06	4.569086896408587e-06
0.03064935064935065	-2.045462747919629e-06	6.257402806070706e-06
0.03116883116883117	-1.200295993596756e-06	5.074472881808385e-06
0.03168831168831169	-3.4900860911202313e-07	3.4042406248700785e-06
0.032207792207792206	-5.0905608270245697e-08	2.9019841045039116e-06
0.03272727272727273	-3.5467873303143896e-07	3.1480595577752593e-06
0.03324675324675325	-9.064426056196258e-07	2.0790378232709506e-06
0.033766233766233764	-1.423261079534416e-06	-1.1820165884839856e-06
0.03428571428571429	-1.878451597840054e-06	-4.930578670832563e-06
0.034805194805194804	-2.3987616756337795e-06	-6.7419697178524295e-06
0.03532467532467533	-3.0174080972429593e-06	-5.937640856958508e-06
0.035844155844155845	-3.2852540178682533e-06	-4.2946692458692835e-06
0.03636363636363636	-2.621819844875599e-06	-3.952097493178458e-06
0.036883116883116886	-1.56201459477509e-06	-5.033009694095089e-06
0.0374025974025974	-1.2683486395447156e-06	-5.792229078896635e-06
0.03792207792207792	-1.5510932179826352e-06	-4.665844531321427e-06
0.03844155844155844	-1.4666705134520017e-06	-2.150771991966778e-06
0.03896103896103896	-9.666723359785934e-07	-1.7397041436462398e-07
0.03948051948051948	-1.7269894225399422e-07	3.9515820110664276e-07
0.04	1.2161662579470237e-06	6.37202474259574e-08
0.04051948051948052	2.8335725090746397e-06	-9.728238428161892e-07
0.04103896103896104	3.5987752665978964e-06	-2.4144970855264613e-06
0.04155844155844156	3.371119942826983e-06	-2.6925638389087043e-06
0.042077922077922075	2.959622339745788e-06	-1.4941961128659374e-06
0.0425974025974026	2.5776979723470723e-06	-8.652456498870702e-07
0.043116883116883116	2.3256703379224298e-06	-6.274199758139507e-07
0.04363636363636364	2.9121882411933288e-06	1.3335119262836337e-06
0.04415584415584416	4.213883219873699e-06	3.1295521430580216e-06
0.044675324675324674	4.59061443153869e-06	1.0440070046855752e-06
0.0451948051948052	2.863519013704487e-06	-3.704068988136312e-06
0.045714285714285714	2.8876575390553684e-07	-6.380512678913657e-06
0.04623376623376623	-8.495131858554203e-07	-5.0785626336807e-06
0.046753246753246755	-1.8304282839061604e-07	-2.25710875320178e-06
0.04727272727272727	8.556922217821996e-07	-8.816362690851205e-07
0.04779220779220779	1.2363924429630153e-06	-1.189428774970076e-06
0.04831168831168831	8.064848284137644e-07	-1.3211787672147153e-06
0.04883116883116883	-1.3325499428714445e-07	-2.3525641021395163e-07
0.04935064935064935	-6.029072919896106e-07	9.106086554092585e-07
0.04987012987012987	-7.2283858586808254e-09	8.695678072047505e-07
0.05038961038961039	6.111054143843663e-07	2.954209125050435e-07
0.05090909090909091	1.9119167794786492e-07	2.1390769529122882e-07
0.05142857142857143	-8.415426683668215e-07	2.0873699509859792e-07
0.05194805194805195	-2.0476844692196795e-06	-2.2963750148098096e-07
0.05246753246753247	-3.557565719850809e-06	-1.1219718091334252e-06
0.052987012987012985	-4.289257168511508e-06	-3.0532846001370217e-06
0.05350649350649351	-2.8554641271474354e-06	-5.107143660981373e-06
0.054025974025974026	-5.750476215669691e-07	-4.771721231976064e-06
0.05454545454545454	4.0173358078286716e-08	-2.691757525564621e-06
0.05506493506493507	-9.52716683717987e-07	-2.279779698867117e-06
0.055584415584415584	-1.6468382559790534e-06	-4.1243874567697125e-06
0.0561038961038961	-1.3782695487406165e-06	-4.9108558448999464e-06
0.056623376623376624	-9.410684690749825e-07	-1.6236277024342076e-06
0.05714285714285714	-9.023465844067174e-07	4.523926227635014e-06
0.057662337662337665	-1.27653703827364e-06	9.218972526958103e-06
0.05818181818181818	-1.8238456479385253e-06	1.0251112075886793e-05
0.0587012987012987	-2.0810766041394882e-06	8.988605735596745e-06
0.05922077922077922	-1.9609673530096917e-06	7.206688348653038e-06
0.05974025974025974	-2.1144357822341403e-06	5.717631779582671e-06
0.06025974025974026	-3.2174644828885996e-06	4.1926989190633645e-06
0.06077922077922078	-4.943325843391588e-06	1.3601017374703828e-06
0.0612987012987013	-5.999508035925493e-06	-1.9760998912736286e-06
0.06181818181818182	-5.1967895186803845e-06	-2.6404033320200196e-06
0.06233766233766234	-2.473718338199299e-06	2.144009536685778e-07
0.06285714285714286	3.120342026537559e-07	3.7833168367402923e-06
0.06337662337662338	7.193516534936453e-07	5.415314921911897e-06
0.0638961038961039	-9.144710666812656e-07	4.9888313661700944e-06
0.06441558441558441	-1.6917395130550693e-06	3.6969857601196302e-06
0.06493506493506493	-2.8883717008505914e-07	2.3884484402907756e-06
0.06545454545454546	1.6852421781749058e-06	1.8660488431156419e-06
0.06597402597402598	2.6974363919631224e-06	3.0005356284828913e-06
0.0664935064935065	3.3676049477260754e-06	5.182017591952806e-06
0.06701298701298701	4.66831140452295e-06	6.704841599523431e-06
0.06753246753246753	5.885264216285291e-06	6.875291657596589e-06
0.06805194805194806	5.611685530412721e-06	5.595899415675253e-06
0.06857142857142857	3.8083754778035993e-06	2.292449093572942e-06
0.06909090909090909	2.1039271454571403e-06	-2.4349809797461442e-06
0.06961038961038961	1.8895427084833623e-06	-5.817041524434355e-06
0.07012987012987013	2.5999230691727007e-06	-6.174048061359612e-06
0.07064935064935066	2.749980981681532e-06	-5.4177880628649444e-06
0.07116883116883117	1.901795032368929e-06	-5.1401502836392775e-06
0.07168831168831169	6.990287238897702e-07	-3.470898975658713e-06
0.0722077922077922	-1.2115679181878717e-07	2.2265532752553317e-07
0.07272727272727272	-2.391030525631829e-07	2.6997131564733085e-06
0.07324675324675324	-9.572184859732673e-08	2.3903125572311806e-06
0.07376623376623377	-6.917378618751499e-07	1.6262283310835405e-06
0.07428571428571429	-2.102626045777745e-06	1.7415367998194016e-06
0.0748051948051948	-2.937201321841754e-06	1.0852109393812374e-06
0.07532467532467532	-2.4567982221768093e-06	-1.4120830427536244e-06
0.07584415584415584	-1.5546792711452772e-06	-3.9500745606376436e-06
0.07636363636363637	-8.797833589990949e-07	-4.401982809751377e-06
0.07688311688311689	-4.1499251983286094e-07	-2.879058650307176e-06
0.0774025974025974	-5.583096740448181e-07	-5.848490267705482e-07
0.07792207792207792	-1.2055725392461727e-06	1.000937644926402e-06
0.07844155844155844	-1.0460824231820192e-06	3.7195245530083233e-07
0.07896103896103895	5.697699388544744e-07	-1.8695985853159131e-06
0.07948051948051948	2.577135249770313e-06	-3.4587931071243304e-06
0.08	3.6904369751992465e-06	-3.4792035731129034e-06
0.08051948051948052	3.662593001921129e-06	-2.381157961874876e-06
0.08103896103896104	2.828673448589385e-06	-3.478678442060937e-07
0.08155844155844155	1.3647217862604578e-06	2.6905222806534493e-06
0.08207792207792208	-2.897593610465855e-07	5.955352136063285e-06
0.0825974025974026	-1.0571364232250796e-06	7.191330540896031e-06
0.08311688311688312	-5.397738123450304e-07	4.962382111719319e-06
0.08363636363636363	4.073594163843045e-07	1.8742584005752439e-06
0.08415584415584415	1.0934287614621738e-06	1.573787067479886e-06
